num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
254,144,96,0,0,1,4,2,1
190,125,47,0,0,0,28,0,1
63,51,17,2,1,0,4,0,1
134,86,41,4,4,0,7,1,1
207,111,65,6,1,1,17,0,0
22,15,4,0,0,0,7,0,0
537,288,186,0,0,0,23,2,1
88,62,35,0,0,0,4,0,0
35,33,8,0,0,0,7,0,1
128,95,35,0,0,0,13,0,1
99,66,22,0,0,0,11,0,0
974,399,365,0,0,0,38,0,0
494,284,162,0,0,1,23,1,1
282,160,102,0,0,9,31,0,0
394,206,167,0,0,0,4,1,1
188,112,63,1,1,2,6,1,0
292,149,113,0,0,0,12,0,0
24,23,9,0,0,0,1,0,0
124,79,41,0,0,1,9,0,0
249,107,71,0,0,0,38,0,0
145,99,40,0,0,0,4,0,1
17,16,1,0,0,0,5,0,0
36,35,5,0,0,0,1,0,1
205,120,84,0,0,0,8,1,0
222,112,60,0,0,0,19,0,0
911,345,268,0,0,0,27,0,1
182,114,63,0,0,0,17,1,0
43,28,17,0,0,0,0,0,0
144,87,47,0,0,0,17,0,0
39,32,11,0,0,0,4,0,1
312,184,122,0,0,0,18,2,1
299,201,71,1,1,1,11,2,1
106,104,4,0,0,0,19,0,1
237,132,90,0,0,0,11,0,0
1225,512,416,2,2,2,73,1,1
1019,466,300,0,0,0,24,0,0
333,187,126,0,0,0,15,2,1
687,347,227,0,0,0,70,0,1
8,8,3,0,0,0,0,0,0
106,79,28,0,0,0,2,0,1
72,58,15,0,0,0,28,1,1
435,238,137,0,0,0,13,0,0
848,300,267,1,1,11,90,1,0
216,123,60,0,0,0,11,0,0
255,142,96,0,0,0,5,1,1
187,128,59,0,0,2,8,0,0
88,76,28,0,0,0,7,1,1
8,8,2,0,0,0,0,0,0
132,92,26,4,3,1,12,0,1
63,51,24,0,0,0,1,0,1
810,406,69,0,0,166,301,0,0
958,415,237,0,0,1,148,0,0
977,413,300,12,2,0,46,0,0
150,103,55,2,1,1,9,0,1
45,34,2,0,0,0,5,0,0
965,423,322,0,0,0,30,2,1
347,193,149,0,0,0,8,1,1
3011,787,1232,0,0,0,36,2,1
530,302,167,3,3,2,35,1,1
172,120,45,0,0,0,4,0,1
103,74,35,0,0,0,6,0,0
165,91,58,1,1,3,13,0,1
36,32,8,1,1,0,2,0,0
715,294,224,0,0,0,6,1,1
718,285,245,0,0,0,73,1,0
2337,774,690,1,1,0,99,1,0
20,18,1,0,0,3,5,0,0
276,122,87,0,0,11,13,0,0
254,163,94,0,0,1,3,0,1
43,43,0,0,0,0,3,0,1
57,40,27,0,0,0,1,0,0
359,221,93,2,2,2,21,0,1
364,211,137,0,0,0,30,0,1
369,208,148,0,0,0,3,2,1
74,65,10,0,0,0,19,0,1
1165,484,408,0,0,0,23,2,1
178,41,57,0,0,0,12,0,1
25,21,14,0,0,0,0,0,0
490,236,67,0,0,0,31,0,1
240,79,73,0,0,0,23,0,0
124,100,41,0,0,0,9,0,1
9,9,1,0,0,0,1,0,0
106,74,30,0,0,0,2,0,1
288,167,86,0,0,0,39,0,1
92,76,19,0,0,0,25,1,1
11,9,0,0,0,0,5,0,0
201,114,74,0,0,0,0,0,0
101,76,13,0,0,0,15,2,1
469,214,194,2,2,1,12,0,1
885,372,298,0,0,0,26,0,1
144,99,52,0,0,0,2,0,1
